"(PDH-TSV 4.0) (Iran Standard Time)(-210)"	"\\SALAVATI-ADBF30\Memory\Cache Bytes"	"\\SALAVATI-ADBF30\Memory\Pool Paged Allocs"	"\\SALAVATI-ADBF30\Memory\System Driver Total Bytes"	"\\SALAVATI-ADBF30\System\Context Switches/sec"	"\\SALAVATI-ADBF30\Thread(_Total/_Total)\Context Switches/sec"
"12/11/2009 13:36:09.937"	"68898816"	"70859"	"3018752"	"2842.8912625007542"	"2202.4777665796055"
"12/11/2009 13:36:10.937"	"68550656"	"70890"	"3018752"	"6698.5803260203902"	"6694.5667967657337"
"12/11/2009 13:36:11.937"	"68620288"	"71070"	"3018752"	"5896.9069804120509"	"5626.0278858541888"
"12/11/2009 13:36:12.937"	"68595712"	"70888"	"3018752"	"4269.4678619317674"	"4280.4793851395634"
"12/11/2009 13:36:13.937"	"68546560"	"70892"	"3018752"	"6164.4647010485478"	"6155.4464659527348"
"12/11/2009 13:36:14.937"	"68616192"	"71060"	"3018752"	"6741.8289692825874"	"6738.8317127757928"
"12/11/2009 13:36:15.937"	"68845568"	"71024"	"3018752"	"6253.0601591940494"	"6253.0601591940494"
"12/11/2009 13:36:16.937"	"68980736"	"71051"	"3018752"	"6203.4059129487778"	"6202.4039090862434"
"12/11/2009 13:36:17.937"	"68993024"	"71032"	"3018752"	"7531.3183101353716"	"7498.4130401453722"
"12/11/2009 13:36:18.937"	"69517312"	"70997"	"3018752"	"6741.950497500211"	"6718.0675732286236"
"12/11/2009 13:36:19.937"	"68952064"	"70933"	"3018752"	"6988.0332319285935"	"6964.9173446375889"
"12/11/2009 13:36:20.937"	"69009408"	"71086"	"3018752"	"5985.4931304008096"	"5982.4958879719661"
"12/11/2009 13:36:21.937"	"69079040"	"71078"	"3018752"	"7364.9042630499489"	"7345.9662225846696"
"12/11/2009 13:36:22.937"	"69120000"	"71113"	"3018752"	"5987.3215707467016"	"5961.2592300737715"
"12/11/2009 13:36:23.937"	"69083136"	"71022"	"3018752"	"6404.8206874159905"	"6404.8206874159905"
"12/11/2009 13:36:24.937"	"69140480"	"70932"	"3018752"	"6993.9878915261934"	"6985.9592069039791"
"12/11/2009 13:36:25.937"	"69185536"	"70976"	"3018752"	"7388.7951311183633"	"7239.2934371291403"
"12/11/2009 13:36:26.937"	"69189632"	"71005"	"3018752"	"5808.1359876042116"	"5809.1415513139764"
"12/11/2009 13:36:27.937"	"69193728"	"71004"	"3018752"	"6152.6095931974878"	"6147.6414006965206"
"12/11/2009 13:36:28.937"	"69361664"	"70986"	"3018752"	"5247.8158484805454"	"5244.8050533867527"
"12/11/2009 13:36:29.937"	"69324800"	"71099"	"3018752"	"6724.1569338404133"	"6727.1512147965541"
"12/11/2009 13:36:30.937"	"69390336"	"70981"	"3018752"	"6142.0249346452247"	"6057.8601557691727"
