"(PDH-TSV 4.0) (Iran Standard Time)(-210)"	"\\SALAVATI-989DEF\Memory\Cache Bytes"	"\\SALAVATI-989DEF\Memory\Pool Paged Allocs"	"\\SALAVATI-989DEF\Memory\System Driver Total Bytes"	"\\SALAVATI-989DEF\System\Context Switches/sec"	"\\SALAVATI-989DEF\Thread(_Total/_Total)\Context Switches/sec"
"12/11/2009 14:39:14.850"	"61214720"	"54881"	"3018752"	"1889.0929581046294"	"1348.3335008261693"
"12/11/2009 14:39:15.866"	"60874752"	"54701"	"3018752"	"2102.8649162797046"	"2103.8512506682036"
"12/11/2009 14:39:16.882"	"60923904"	"54716"	"3018752"	"2468.5958393084175"	"2465.641795623565"
"12/11/2009 14:39:17.897"	"60952576"	"54798"	"3018752"	"1426.9800441205036"	"1431.9040608358953"
"12/11/2009 14:39:18.898"	"60571648"	"54649"	"3018752"	"4235.4151546635949"	" "
"12/11/2009 14:39:19.914"	"60641280"	"54734"	"3018752"	"1415.9824594453639"	"1414.9977706696716"
"12/11/2009 14:39:20.930"	"60686336"	"54544"	"3018752"	"523.87528243525026"	"523.87528243525026"
"12/11/2009 14:39:21.945"	"60760064"	"54549"	"3018752"	"1723.2725901347303"	"1718.3489541629169"
"12/11/2009 14:39:22.946"	"60821504"	"54441"	"3018752"	"949.10661192497309"	"939.10548851164356"
"12/11/2009 14:39:23.962"	"60903424"	"54642"	"3018752"	"2599.6129408477977"	"2596.6588352331983"
"12/11/2009 14:39:24.977"	"60989440"	"54591"	"3018752"	"1439.6792359669446"	"1434.7555723692465"
"12/11/2009 14:39:25.978"	"61005824"	"54498"	"3018752"	"1707.1768059850231"	"1706.1767024079961"
"12/11/2009 14:39:26.994"	"61091840"	"54532"	"3018752"	"15493.176270526788"	"15483.328704092843"
"12/11/2009 14:39:28.010"	"61153280"	"54588"	"3018752"	"3117.4633175500626"	"3104.6626153617649"
"12/11/2009 14:39:29.025"	"64512000"	"54778"	"3018752"	"3946.4873226868949"	"3929.7482297513466"
"12/11/2009 14:39:30.026"	"62099456"	"55430"	"3018752"	"2271.0013329824596"	"2205.0012942432072"
"12/11/2009 14:39:31.042"	"62173184"	"55564"	"3018752"	"2288.5123785092123"	"2291.4665683265648"
"12/11/2009 14:39:32.058"	"62418944"	"55427"	"3018752"	"1036.9134524692083"	"1034.9440062157057"
"12/11/2009 14:39:33.058"	"62955520"	"56330"	"3018752"	"11522.498022537096"	"8928.1624959148467"
"12/11/2009 14:39:34.058"	"64110592"	"56505"	"3018752"	"19481.157740849674"	"19481.157740849674"
"12/11/2009 14:39:35.058"	"62103552"	"56401"	"3018752"	"3331.2347157614845"	"3327.218760709331"
"12/11/2009 14:39:36.059"	"62148608"	"56371"	"3018752"	"3375.0278807236732"	"3327.7473113066799"
"12/11/2009 14:39:37.074"	"62271488"	"56626"	"3018752"	"14444.769919823359"	"14441.804456895865"
"12/11/2009 14:39:38.075"	"62287872"	"56436"	"3018752"	"5885.5796970792726"	"5884.5855113196303"
"12/11/2009 14:39:39.091"	"62341120"	"56470"	"3018752"	"1936.2059236457376"	"1926.3020570286239"
"12/11/2009 14:39:40.091"	"62558208"	"56619"	"3018752"	"4199.8646868673859"	"3527.372833644557"
"12/11/2009 14:39:41.091"	"62775296"	"56597"	"3018752"	"2699.7324465743432"	"2674.6326655537564"
"12/11/2009 14:39:42.091"	"62697472"	"56697"	"3018752"	"4744.7837012377286"	"4734.7439557844109"
"12/11/2009 14:39:43.092"	"62873600"	"56613"	"3018752"	"3196.0338834581285"	"3195.0357467050185"
"12/11/2009 14:39:44.092"	"63172608"	"56599"	"3018752"	"1763.203875923195"	"1762.2009158117485"
"12/11/2009 14:39:45.092"	"62746624"	"56697"	"3018752"	"2294.7220466644803"	"2294.7220466644803"
"12/11/2009 14:39:46.093"	"62717952"	"56539"	"3018752"	"1986.8868610759137"	"1985.8828757999784"
"12/11/2009 14:39:47.093"	"62758912"	"56591"	"3018752"	"2204.8867956959784"	"2203.8827488855522"
"12/11/2009 14:39:48.093"	"62836736"	"56515"	"3018752"	"2451.6627348208831"	"2453.6511068685886"
"12/11/2009 14:39:49.093"	"62894080"	"56479"	"3018752"	"4952.9993805983713"	" "
"12/11/2009 14:39:50.094"	"63086592"	"56563"	"3018752"	"1950.5786703213971"	"1871.1069245991741"
"12/11/2009 14:39:51.094"	"63135744"	"56577"	"3018752"	"1455.0066549362673"	"1456.9970881167546"
"12/11/2009 14:39:52.094"	"63320064"	"56587"	"3018752"	"1500.4422883749312"	"1498.4323187990774"
"12/11/2009 14:39:53.094"	"63385600"	"56605"	"3018752"	"1546.6437310375677"	"1543.6346965413857"
"12/11/2009 14:39:54.095"	"63430656"	"56494"	"3018752"	"1488.4886061738018"	"1492.4579091235987"
"12/11/2009 14:39:55.095"	"63545344"	"56494"	"3018752"	"1653.3588783143068"	"1647.3466642113458"
"12/11/2009 14:39:56.095"	"62926848"	"56508"	"3018752"	"1451.4419170352373"	"1450.445731779894"
"12/11/2009 14:39:57.096"	"62451712"	"56532"	"3018752"	"1353.7158327757477"	"1356.7307900870521"
"12/11/2009 14:39:58.096"	"62517248"	"56438"	"3018752"	"1396.6524748311372"	"1396.6524748311372"
"12/11/2009 14:39:59.096"	"62541824"	"56451"	"3018752"	"1382.9245259562163"	"1377.8993641613172"
"12/11/2009 14:40:00.096"	"62734336"	"56529"	"3018752"	"1411.2670763790236"	"1410.276713518407"
"12/11/2009 14:40:01.097"	"62779392"	"56542"	"3018752"	"1368.1453965273076"	"1373.2201198081952"
"12/11/2009 14:40:02.097"	"62976000"	"56554"	"3018752"	"1369.3965618965219"	"1361.480974833536"
"12/11/2009 14:40:03.097"	"63168512"	"56458"	"3018752"	"1311.9219117691"	"1311.9219117691"
"12/11/2009 14:40:04.097"	"63234048"	"56473"	"3018752"	"1389.2581713593374"	"1386.2489478834689"
"12/11/2009 14:40:05.098"	"63320064"	"56484"	"3018752"	"1395.4990868294406"	"1397.506999184591"
"12/11/2009 14:40:06.098"	"63389696"	"56508"	"3018752"	"1364.4430189078912"	"1364.4430189078912"
"12/11/2009 14:40:07.098"	"63066112"	"56520"	"3018752"	"1383.8630044543102"	"1385.8729725072576"
"12/11/2009 14:40:08.098"	"63123456"	"56401"	"3018752"	"1449.5234145770728"	"1447.5445430213363"
"12/11/2009 14:40:09.099"	"63197184"	"56444"	"3018752"	"1500.143662669034"	"1496.1512643651909"
"12/11/2009 14:40:10.099"	"63279104"	"56333"	"3018752"	"1428.139233385471"	"1422.1090888391564"
"12/11/2009 14:40:11.099"	"62947328"	"56349"	"3018752"	"1388.0407882433303"	"1390.0350997206913"
"12/11/2009 14:40:12.100"	"63008768"	"56363"	"3018752"	"1313.5153661973611"	"1311.5053962414354"
"12/11/2009 14:40:13.100"	"62545920"	"56249"	"3018752"	"1367.4433557745454"	"1367.4433557745454"
"12/11/2009 14:40:14.100"	"62615552"	"56272"	"3018752"	"1449.5440044404415"	"566.95475395520339"
"12/11/2009 14:40:15.100"	"62697472"	"56291"	"3018752"	"1428.8500544339904"	"1430.8739213666165"
"12/11/2009 14:40:16.101"	"62377984"	"56317"	"3018752"	"1402.9969630837804"	"1402.9969630837804"
"12/11/2009 14:40:17.101"	"62435328"	"56276"	"3018752"	"1491.9399378516262"	"15.059958995810492"
"12/11/2009 14:40:18.101"	"62500864"	"56297"	"3018752"	"1356.8546355661542"	"1354.8738258791961"
"12/11/2009 14:40:19.101"	"62697472"	"56311"	"3018752"	"1377.9053380607593"	"1378.9162737453235"
"12/11/2009 14:40:20.102"	"62775296"	"56329"	"3018752"	"1404.3951906942145"	"1404.3951906942145"
"12/11/2009 14:40:21.102"	"62836736"	"56340"	"3018752"	"1315.6737338873079"	"1313.6696611776547"
