"(PDH-TSV 4.0) (Iran Standard Time)(-210)"	"\\SALAVATI-989DEF\Memory\Cache Bytes"	"\\SALAVATI-989DEF\Memory\Pool Paged Allocs"	"\\SALAVATI-989DEF\Memory\System Driver Total Bytes"	"\\SALAVATI-989DEF\System\Context Switches/sec"	"\\SALAVATI-989DEF\Thread(_Total/_Total)\Context Switches/sec"
"12/11/2009 15:27:15.265"	"40579072"	"33175"	"2215936"	"2614.5434958854171"	"2389.4884663723774"
"12/11/2009 15:27:16.265"	"40218624"	"33285"	"2215936"	"697.02670776819355"	"700.03113323271157"
"12/11/2009 15:27:17.265"	"40128512"	"33418"	"2117632"	"4174.1356851381433"	"4172.1356201237022"
"12/11/2009 15:27:18.265"	"40235008"	"33571"	"2117632"	"4418.4886884037578"	"4416.4884671776808"
"12/11/2009 15:27:19.281"	"40271872"	"33495"	"2117632"	"637.12044045254743"	"639.08990085580103"
"12/11/2009 15:27:20.296"	"40267776"	"33263"	"2117632"	"614.46592266392042"	"613.48120163401029"
"12/11/2009 15:27:21.296"	"40775680"	"33353"	"2215936"	"2814.3048893191244"	"2791.302397331086"
"12/11/2009 15:27:22.296"	"40775680"	"33365"	"2215936"	"553.06054480739851"	"553.06054480739851"
"12/11/2009 15:27:23.296"	"40783872"	"33378"	"2215936"	"526.06197787849237"	"192.02262310393638"
"12/11/2009 15:27:24.296"	"40792064"	"33435"	"2215936"	"655.07235094048451"	"655.07235094048451"
"12/11/2009 15:27:25.296"	"40792064"	"33456"	"2215936"	"339.03814329427428"	"342.03848084555102"
"12/11/2009 15:27:26.296"	"40812544"	"33506"	"2215936"	"703.07857668698671"	"699.07812959346188"
"12/11/2009 15:27:27.296"	"40812544"	"33519"	"2215936"	"741.0820280581919"	"737.08158526165653"
"12/11/2009 15:27:28.296"	"40816640"	"33523"	"2215936"	"410.04807560499211"	"408.0478410898458"
"12/11/2009 15:27:29.296"	"40824832"	"33576"	"2215936"	"2420.2482138898781"	"297.03046261375778"
"12/11/2009 15:27:30.296"	"40935424"	"33424"	"2215936"	"18004.075145075407"	"17999.074568710261"
"12/11/2009 15:27:31.296"	"40927232"	"33524"	"2215936"	"3519.0173994930115"	"3509.0173500485871"
"12/11/2009 15:27:32.296"	"40927232"	"33531"	"2215936"	"860.09446455562818"	"862.09468424064119"
"12/11/2009 15:27:33.296"	"41005056"	"33693"	"2215936"	"779.0521842641582"	"771.05164835387154"
"12/11/2009 15:27:34.296"	"41037824"	"33709"	"2215936"	"939.09930714187988"	"938.09920138347525"
"12/11/2009 15:27:35.296"	"41185280"	"33917"	"2215936"	"3613.1209854007366"	"3598.1204831087325"
"12/11/2009 15:27:36.296"	"41168896"	"33843"	"2215936"	"1116.123069960363"	"1116.123069960363"
"12/11/2009 15:27:37.296"	"41140224"	"33888"	"2215936"	"1275.1388356426712"	"737.08025244599901"
"12/11/2009 15:27:38.296"	"41209856"	"33922"	"2215936"	"2890.2995139912468"	"2923.3029340472026"
"12/11/2009 15:27:39.296"	"41103360"	"33804"	"2215936"	"5132.4949963858098"	" "
"12/11/2009 15:27:40.296"	"42053632"	"34123"	"2215936"	"1052.1029294244436"	"1037.1014617995704"
"12/11/2009 15:27:41.296"	"41873408"	"34079"	"2215936"	"2873.2049720242358"	"2877.2052574012273"
"12/11/2009 15:27:42.296"	"41832448"	"34080"	"2215936"	"414.02873075361163"	"184.01276922382741"
"12/11/2009 15:27:43.296"	"41824256"	"34193"	"2215936"	"184.02194222270896"	"184.02194222270896"
"12/11/2009 15:27:44.296"	"41836544"	"34199"	"2215936"	"208.02417242863174"	"208.02417242863174"
"12/11/2009 15:27:45.296"	"41840640"	"34210"	"2215936"	"194.02264590629844"	"195.02276263777421"
"12/11/2009 15:27:46.296"	"41840640"	"34214"	"2215936"	"189.02262057631802"	"187.02238120514005"
"12/11/2009 15:27:47.296"	"41848832"	"34222"	"2215936"	"330.03694560821589"	" "
