"(PDH-TSV 4.0) (Iran Standard Time)(-210)"	"\\SALAVATI-989DEF\Memory\Cache Bytes"	"\\SALAVATI-989DEF\Memory\Pool Paged Allocs"	"\\SALAVATI-989DEF\Memory\System Driver Total Bytes"	"\\SALAVATI-989DEF\System\Context Switches/sec"	"\\SALAVATI-989DEF\Thread(_Total/_Total)\Context Switches/sec"
"12/11/2009 16:45:00.937"	"40501248"	"34262"	"2117632"	"2599.2210782140046"	"2137.7606600662734"
"12/11/2009 16:45:01.937"	"40206336"	"34418"	"2117632"	"738.17366750722465"	"735.16071376229718"
"12/11/2009 16:45:02.937"	"40615936"	"34349"	"2117632"	"1424.145552519785"	"1428.1459613751776"
"12/11/2009 16:45:03.953"	"40562688"	"34980"	"2117632"	"2493.2999497808578"	"2493.2999497808578"
"12/11/2009 16:45:04.968"	"40570880"	"34995"	"2117632"	"662.71383721702091"	"660.74440530850075"
"12/11/2009 16:45:05.968"	"40579072"	"35026"	"2117632"	"680.06996553498573"	"679.06986264449301"
"12/11/2009 16:45:06.968"	"40472576"	"35262"	"2117632"	"25968.864744393028"	"25966.864600768859"
"12/11/2009 16:45:07.968"	"40439808"	"35180"	"2117632"	"1996.2094505419125"	"1998.209660412195"
"12/11/2009 16:45:08.968"	"40443904"	"35214"	"2117632"	"856.09125325169941"	"856.09125325169941"
"12/11/2009 16:45:09.968"	"40456192"	"35317"	"2117632"	"1182.1290152172023"	"1176.1283603176225"
"12/11/2009 16:45:10.968"	"40513536"	"35375"	"2117632"	"841.08648287635617"	"839.08627720958725"
"12/11/2009 16:45:11.968"	"40484864"	"35297"	"2117632"	"571.06211586207485"	"568.06178950903427"
"12/11/2009 16:45:12.968"	"40607744"	"35866"	"2117632"	"3008.3034952826383"	"3004.3030916984858"
"12/11/2009 16:45:13.968"	"40611840"	"35932"	"2117632"	"582.02853094855936"	"580.02843290406258"
"12/11/2009 16:45:14.968"	"40632320"	"36097"	"2117632"	"901.09666790187759"	"901.09666790187759"
"12/11/2009 16:45:15.968"	"40648704"	"36020"	"2117632"	"1155.1199128668479"	"1154.1198090461839"
"12/11/2009 16:45:16.968"	"40497152"	"35788"	"2117632"	"8477.2384450842583"	"1076.1572164830891"
"12/11/2009 16:45:17.968"	"40554496"	"35801"	"2117632"	"897.06104832813787"	"898.06111638647474"
"12/11/2009 16:45:18.968"	"40513536"	"35889"	"2117632"	"824.08687474300211"	"822.08666388197537"
"12/11/2009 16:45:19.968"	"40460288"	"35668"	"2117632"	"2718.1796513722038"	" "
"12/11/2009 16:45:20.968"	"40611840"	"35698"	"2117632"	"672.070567002551"	"671.0704619921305"
"12/11/2009 16:45:21.968"	"40554496"	"36420"	"2117632"	"2281.2347159111368"	"2282.2348188115802"
